date;clot
15/03/2007;80.78
16/03/2007;80.81
19/03/2007;82.03
20/03/2007;82.43
21/03/2007;82.6
22/03/2007;83.76
23/03/2007;83.28
26/03/2007;82.53
27/03/2007;83.06
28/03/2007;82.13
29/03/2007;83.06
30/03/2007;83.05
02/04/2007;83.12
03/04/2007;84.28
04/04/2007;84.32
05/04/2007;85
10/04/2007;85.14
11/04/2007;85.05
12/04/2007;85.2
13/04/2007;85.76
16/04/2007;86.36
17/04/2007;86.01
18/04/2007;85
19/04/2007;84.8
20/04/2007;85.77
23/04/2007;85.69
24/04/2007;85.13
25/04/2007;86.71
26/04/2007;86.67
27/04/2007;85.72
30/04/2007;85.97
02/05/2007;86.96
03/05/2007;86.68
04/05/2007;87.75
07/05/2007;87.92
08/05/2007;86.75
09/05/2007;86.67
10/05/2007;85.62
11/05/2007;86.06
14/05/2007;85.69
15/05/2007;85.19
16/05/2007;85.83
17/05/2007;85.43
18/05/2007;86.35
21/05/2007;86.53
22/05/2007;86.45
23/05/2007;87.02
24/05/2007;86.4
25/05/2007;86.61
28/05/2007;87.14
29/05/2007;87.5
30/05/2007;86.3
31/05/2007;87.72
01/06/2007;86.85
04/06/2007;86.49
05/06/2007;85.09
06/06/2007;85
07/06/2007;84.08
08/06/2007;84.05
11/06/2007;84.63
12/06/2007;84.39
13/06/2007;84.25
14/06/2007;86.3
15/06/2007;86.98
18/06/2007;86.04
19/06/2007;85.01
20/06/2007;85.38
21/06/2007;85.48
22/06/2007;84.84
25/06/2007;84.79
26/06/2007;83.74
27/06/2007;83.53
28/06/2007;84.58
29/06/2007;85.54
02/07/2007;84.59
03/07/2007;84.89
04/07/2007;85.02
05/07/2007;84.74
06/07/2007;84.87
09/07/2007;85
10/07/2007;83.8
11/07/2007;83.25
12/07/2007;84
13/07/2007;84.37
16/07/2007;84.41
17/07/2007;83.99
18/07/2007;82.7
19/07/2007;83.43
20/07/2007;82.12
23/07/2007;82.9
24/07/2007;82.54
25/07/2007;82.08
26/07/2007;80.25
27/07/2007;81.01
30/07/2007;80.71
31/07/2007;82.76
01/08/2007;81.32
02/08/2007;81.11
03/08/2007;80.21
06/08/2007;79.35
07/08/2007;81.23
08/08/2007;83.5
09/08/2007;82.83
10/08/2007;81.2
13/08/2007;82.2
14/08/2007;80.8
15/08/2007;79.99
16/08/2007;77.49
17/08/2007;78.9
20/08/2007;79.53
21/08/2007;79.85
22/08/2007;80.62
23/08/2007;80.41
24/08/2007;80.71
27/08/2007;81.23
28/08/2007;79.6
29/08/2007;78.99
30/08/2007;80.77
31/08/2007;81.99
03/09/2007;81.33
04/09/2007;81.63
05/09/2007;79.75
06/09/2007;80.87
