"date	ouv	haut	bas	clot	vol	devise"
"17/05/2006 00:00	5103.58	5110.2	4920.31	4920.31	7399	Pts"
"18/05/2006 00:00	4922.31	4959.81	4841.77	4908.69	7223	Pts"
"19/05/2006 00:00	4933.73	4964.84	4906.74	4944.57	7157	Pts"
"22/05/2006 00:00	4934.11	4934.11	4805.15	4813.5	7066	Pts"
"23/05/2006 00:00	4847.52	4962.3	4847.52	4931.53	7250	Pts"
"24/05/2006 00:00	4892.71	4908.77	4822.6	4870.02	6101	Pts"
"25/05/2006 00:00	4878.51	4949.53	4840.58	4949.53	4047	Pts"
"26/05/2006 00:00	4993.01	5045.09	4970.08	5045.09	6322	Pts"
"29/05/2006 00:00	5022.86	5026.36	5009.17	5015.32	1960	Pts"
"30/05/2006 00:00	5010.35	5023.41	4882.72	4893.87	6265	Pts"
"31/05/2006 00:00	4834.56	4937.91	4824.58	4930.18	6383	Pts"
"01/06/2006 00:00	4927.13	4954.46	4885.34	4947.29	4386	Pts"
"02/06/2006 00:00	5000.45	5023.17	4937.81	4959.7	4911	Pts"
"05/06/2006 00:00	4960.16	4970.51	4906.46	4916.04	2879	Pts"
"06/06/2006 00:00	4834.44	4857.39	4786.43	4797.92	5337	Pts"
"07/06/2006 00:00	4820.29	4832.5	4767.32	4824.77	5133	Pts"
"08/06/2006 00:00	4706.39	4762.74	4684.34	4684.34	8007	Pts"
"09/06/2006 00:00	4757.55	4785.59	4736.49	4768.18	5107	Pts"
"12/06/2006 00:00	4757.56	4780.08	4721.96	4723.18	3656	Pts"
"13/06/2006 00:00	4635.3	4660.34	4594.34	4617.59	6537	Pts"
"14/06/2006 00:00	4622.22	4642.15	4564.69	4615.44	7943	Pts"
"15/06/2006 00:00	4639.4	4729.8	4639.4	4724.58	6385	Pts"
"16/06/2006 00:00	4789.94	4801.63	4681.47	4694.89	10885	Pts"
"19/06/2006 00:00	4722.62	4773.54	4718.72	4729.02	4832	Pts"
"20/06/2006 00:00	4687.39	4770.42	4678.37	4770.42	4741	Pts"
"21/06/2006 00:00	4780.45	4785.86	4711.17	4774.73	4802	Pts"
"22/06/2006 00:00	4828.63	4838.54	4775.59	4803.29	4297	Pts"
"23/06/2006 00:00	4812.8	4834.2	4788.8	4817.63	3647	Pts"
"26/06/2006 00:00	4838.72	4842.8	4796.15	4801.49	4868	Pts"
"27/06/2006 00:00	4829.16	4832.16	4762.82	4771.24	4089	Pts"
"28/06/2006 00:00	4751.79	4802.61	4744.58	4774	3950	Pts"
"29/06/2006 00:00	4814.91	4880.38	4800.49	4880.38	4489	Pts"
"30/06/2006 00:00	4946.59	4974.53	4914.25	4965.96	5420	Pts"
"03/07/2006 00:00	4967.07	4982.84	4952.16	4980.62	4599	Pts"
"04/07/2006 00:00	4985.84	4985.84	4948.41	4983.88	2311	Pts"
"05/07/2006 00:00	4959.93	4963.44	4902.57	4921.3	4316	Pts"
"06/07/2006 00:00	4935.28	4971.69	4933.19	4966.45	8022	Pts"
"07/07/2006 00:00	4950.71	4977.68	4921.57	4953.71	3514	Pts"
"10/07/2006 00:00	4939.2	4989.29	4908.98	4982.48	3578	Pts"
"11/07/2006 00:00	4954.15	4975.78	4903.28	4914.39	5703	Pts"
"12/07/2006 00:00	4946.12	4978.73	4932.7	4941.73	4256	Pts"
"13/07/2006 00:00	4903.58	4904.01	4834.81	4852.52	5556	Pts"
"14/07/2006 00:00	4811.8	4842.85	4780.79	4780.79	3497	Pts"
"17/07/2006 00:00	4790.92	4790.92	4710.61	4750.08	4247	Pts"
"18/07/2006 00:00	4740.01	4763.83	4715.62	4734.54	4231	Pts"
"19/07/2006 00:00	4733.27	4846.54	4733.27	4846.54	4518	Pts"
"20/07/2006 00:00	4870.27	4895.1	4854.58	4865.04	3721	Pts"
"21/07/2006 00:00	4841.28	4857.29	4802.59	4818.55	3809	Pts"
"24/07/2006 00:00	4827.07	4919.44	4826.17	4914.93	3332	Pts"
"25/07/2006 00:00	4931.94	4958.05	4915.9	4933.12	3817	Pts"
"26/07/2006 00:00	4937.07	4954.8	4925.47	4943	3979	Pts"
"27/07/2006 00:00	4974.42	5001.21	4961.54	5001.21	5920	Pts"
"28/07/2006 00:00	4978.07	5030.78	4962.54	5028.51	4381	Pts"
"31/07/2006 00:00	5024.51	5034.06	5006.28	5009.42	2979	Pts"
"01/08/2006 00:00	5010.95	5024.09	4932.41	4948.23	3877	Pts"
"02/08/2006 00:00	4984.11	5027.2	4976.51	5026.25	4752	Pts"
"03/08/2006 00:00	5034.46	5038.68	4958.18	4983.68	5383	Pts"
"04/08/2006 00:00	5013.43	5060.47	4995.77	5040.95	4726	Pts"
"07/08/2006 00:00	4980.44	4995.5	4950.18	4956.34	3487	Pts"
"08/08/2006 00:00	4986.91	4991.49	4943.57	4967.95	3548	Pts"
"09/08/2006 00:00	4982.84	5033.19	4948.18	5025.15	4140	Pts"
"10/08/2006 00:00	4973.73	4986.6	4935.96	4976.64	4016	Pts"
"11/08/2006 00:00	4993.13	5015.01	4962.62	4985.52	3129	Pts"
"14/08/2006 00:00	5019.17	5050.4	5015.48	5046.93	2639	Pts"
"15/08/2006 00:00	5033.2	5125.62	5031.22	5115.02	3488	Pts"
"16/08/2006 00:00	5117.22	5140.73	5102.23	5137.31	4157	Pts"
"17/08/2006 00:00	5139.78	5144.84	5122.4	5144.84	3986	Pts"
"18/08/2006 00:00	5142.67	5157.6	5127.44	5135.69	4019	Pts"
"21/08/2006 00:00	5126.74	5136.22	5094.73	5104.65	2694	Pts"
"22/08/2006 00:00	5126.19	5131.18	5072.73	5128.33	3389	Pts"
"23/08/2006 00:00	5126.55	5131.51	5075.44	5082.73	3061	Pts"
"24/08/2006 00:00	5085.44	5128.96	5062.94	5112.85	3412	Pts"
"25/08/2006 00:00	5118.41	5133.78	5089.45	5111.13	2589	Pts"
"28/08/2006 00:00	5104.38	5154.27	5083.01	5148.52	1918	Pts"
"29/08/2006 00:00	5151.68	5183.47	5144.48	5160.32	3513	Pts"
"30/08/2006 00:00	5176.97	5196.91	5162.71	5182.79	3626	Pts"
"31/08/2006 00:00	5196.08	5196.9	5157.56	5165.04	4230	Pts"
"01/09/2006 00:00	5181.98	5206.23	5170.01	5183.45	4171	Pts"
"04/09/2006 00:00	5195.18	5209.06	5190.38	5203.24	3020	Pts"
"05/09/2006 00:00	5201.96	5202.44	5147.33	5172.85	3431	Pts"
"06/09/2006 00:00	5173.36	5179.88	5107.95	5115.52	4508	Pts"
"07/09/2006 00:00	5090.24	5090.27	5043.76	5060.09	4814	Pts"
"08/09/2006 00:00	5072.75	5091.32	5058.07	5073.57	3631	Pts"
"11/09/2006 00:00	5042.88	5058.31	5018.18	5058.31	3733	Pts"
"12/09/2006 00:00	5062.94	5129.36	5037.73	5125.97	4990	Pts"
"13/09/2006 00:00	5142.98	5152.89	5113.22	5137.93	4046	Pts"
"14/09/2006 00:00	5149.09	5165.39	5106.25	5123.85	4202	Pts"
"15/09/2006 00:00	5131.02	5163.06	5112.88	5144.88	9328	Pts"
"18/09/2006 00:00	5152.9	5159.46	5119.36	5146.96	3396	Pts"
"19/09/2006 00:00	5148.68	5151.78	5091.94	5115.99	4329	Pts"
"20/09/2006 00:00	5110.61	5199.11	5106.01	5192.74	4998	Pts"
"21/09/2006 00:00	5190.28	5222.83	5175.18	5208.32	5242	Pts"
"22/09/2006 00:00	5169.51	5182.73	5122.77	5141.95	3911	Pts"
"25/09/2006 00:00	5156.44	5183.89	5126.39	5146.49	4084	Pts"
"26/09/2006 00:00	5184.83	5229.14	5176.65	5219.59	4850	Pts"
"27/09/2006 00:00	5240.98	5252.75	5208.89	5243.1	5384	Pts"
"28/09/2006 00:00	5237.58	5263.44	5232.78	5250.01	5025	Pts"
"29/09/2006 00:00	5258.84	5285.34	5246.98	5250.01	3784	Pts"
"02/10/2006 00:00	5268.63	5276.23	5229.22	5243.13	4069	Pts"
